Peserta id,Waktu,Ketinggian,Temperature,Kelembaban,Tekanan,Arah Angin,Kecepatan Angin,Lintang,Bujur
621,12:13:16,0.10,40.16,40.97,465.91,180.00,0.11,-6.975825,107.630256
621,12:13:26,0.10,40.20,40.83,465.92,0.00,0.11,-6.975827,107.630264
621,12:13:36,0.00,40.22,40.73,465.93,106.06,0.80,-6.975831,107.630271
621,12:13:46,0.29,40.26,40.52,465.88,0.00,0.22,-6.975841,107.630279
621,12:13:56,0.77,40.24,40.42,465.86,97.18,0.89,-6.975845,107.630287
621,12:14:06,0.36,40.30,40.50,465.88,180.00,0.11,-6.975849,107.630294
621,12:14:16,0.44,40.31,40.58,465.87,90.00,0.88,-6.975852,107.630310
621,12:14:26,0.55,40.37,40.56,465.87,98.19,0.78,-6.975855,107.630317
621,12:14:36,1.01,40.40,40.74,465.84,277.18,0.89,-6.975852,107.630317
621,12:14:46,6.40,40.44,40.49,465.54,0.00,0.67,-6.975824,107.630310
621,12:14:56,7.72,40.41,38.48,465.47,0.00,0.22,-6.975817,107.630302
621,12:15:06,1.29,40.36,37.76,465.83,180.00,0.22,-6.975831,107.630302
621,12:15:16,1.44,40.36,37.71,465.82,180.00,0.22,-6.975838,107.630287
621,12:15:26,3.17,40.31,37.97,465.72,0.00,2.00,-6.975821,107.630287
621,12:15:36,4.39,40.30,38.15,465.66,0.00,0.44,-6.975790,107.630302
