Peserta id,Waktu,Ketinggian,Temperature,Kelembaban,Tekanan,Arah Angin,Kecepatan Angin,Lintang,Bujur
621,11:30:33,1.34,44.12,39.83,466.44,0.00,0.00,-6.975916,107.630264
621,11:30:43,1.23,44.19,39.66,466.45,0.00,0.00,-6.975917,107.630271
621,11:30:53,0.81,44.21,39.55,466.47,0.00,0.00,-6.975919,107.630271
621,11:31:03,1.11,44.24,39.25,466.46,180.00,0.11,-6.975894,107.630241
621,11:31:13,1.34,44.29,37.87,466.44,0.00,0.22,-6.975893,107.630241
621,11:31:23,1.91,44.30,37.43,466.41,0.00,0.11,-6.975895,107.630249
621,11:31:33,2.10,44.31,37.04,466.40,0.00,0.11,-6.975901,107.630241
621,11:31:43,2.03,44.33,38.59,466.40,180.00,0.22,-6.975908,107.630233
621,11:31:53,1.89,44.35,39.49,466.41,180.00,0.11,-6.975915,107.630241
621,11:32:03,1.56,44.38,39.90,466.43,0.00,0.00,-6.975914,107.630233
621,11:32:13,1.37,44.37,39.52,466.44,180.00,0.11,-6.975917,107.630226
621,11:32:23,1.30,44.37,38.68,466.45,180.00,0.33,-6.975922,107.630233
621,11:32:33,2.17,44.35,38.75,466.40,290.70,0.94,-6.975920,107.630233
621,11:32:43,1.44,44.30,38.25,466.44,0.00,0.22,-6.975911,107.630249
621,11:32:53,2.82,44.29,37.98,466.36,0.00,0.00,-6.975916,107.630249
621,11:33:03,2.54,44.27,38.23,466.38,180.00,0.11,-6.975904,107.630249
621,11:33:13,2.57,44.26,38.70,466.38,0.00,0.00,-6.975904,107.630249
621,11:33:23,3.39,44.27,39.06,466.33,0.00,0.00,-6.975906,107.630241
621,11:33:33,3.00,44.27,39.58,466.35,0.00,0.00,-6.975911,107.630241
621,11:33:43,2.87,44.30,39.14,466.36,180.00,0.11,-6.975920,107.630249
