header,ketinggian,temperature,kelembaban,tekanan,lintang,bujur,roll,pitch,yaw
OK,1.68,31.74,63.63,465.61,-6.976940,107.630218,1,-3,52.10
OK,2.05,31.74,63.63,465.59,-6.976940,107.630218,1,-3,52.30
OK,1.80,31.74,63.63,465.60,-6.976940,107.630218,1,-3,52.30
OK,1.76,31.74,63.63,465.61,-6.976940,107.630218,1,-3,52.30
OK,1.85,31.74,63.63,465.60,-6.976940,107.630218,1,-3,52.20
OK,1.89,31.76,63.67,465.60,-6.976940,107.630218,1,-3,52.10
OK,1.55,31.76,63.67,465.62,-6.976940,107.630218,1,-3,52.20
OK,1.40,31.76,63.67,465.63,-6.976942,107.630218,1,-3,52.40
OK,1.84,31.76,63.67,465.60,-6.976942,107.630218,1,-3,52.30
OK,1.92,31.76,63.67,465.60,-6.976942,107.630218,1,-4,52.10
OK,1.93,31.76,63.67,465.60,-6.976942,107.630218,0,-5,52.50
OK,1.74,31.74,63.62,465.61,-6.976942,107.630218,0,-2,53.40
OK,1.93,31.74,63.62,465.60,-6.976942,107.630218,1,0,54.90
OK,2.04,31.74,63.62,465.59,-6.976942,107.630218,1,-5,57.40
OK,1.93,31.74,63.62,465.60,-6.976945,107.630218,3,-9,63.90
OK,2.47,31.74,63.62,465.57,-6.976945,107.630218,3,-3,71.30
OK,2.06,31.74,63.62,465.59,-6.976945,107.630218,-1,2,75.60
OK,2.67,31.74,63.62,465.56,-6.976945,107.630218,0,3,72.40
OK,2.76,31.75,63.65,465.55,-6.976945,107.630218,4,-8,63.10
OK,2.58,31.75,63.65,465.56,-6.976945,107.630218,2,-11,61.80
OK,2.54,31.75,63.65,465.56,-6.976944,107.630218,-1,-7,62.20
OK,2.94,31.75,63.65,465.54,-6.976944,107.630218,-1,0,60.10
OK,2.58,31.75,63.65,465.56,-6.976944,107.630218,0,1,55.90
OK,2.65,31.75,63.65,465.56,-6.976944,107.630218,0,-1,51.80
OK,2.57,31.76,63.65,465.56,-6.976944,107.630218,1,-7,49.40
OK,2.87,31.76,63.65,465.55,-6.976944,107.630218,1,-8,52.80
OK,2.80,31.76,63.65,465.55,-6.976944,107.630218,0,-5,60.70
OK,3.25,31.76,63.65,465.52,-6.976943,107.630210,-1,-1,69.20
OK,2.70,31.76,63.65,465.55,-6.976943,107.630210,2,0,74.70
OK,2.34,31.76,63.65,465.57,-6.976943,107.630210,2,-3,78.90
OK,2.57,31.76,63.65,465.56,-6.976943,107.630210,0,-4,81.00
OK,1.64,31.75,63.64,465.61,-6.976943,107.630210,5,0,75.10
OK,2.22,31.75,63.64,465.58,-6.976943,107.630210,9,-3,72.00
OK,1.80,31.75,63.64,465.60,-6.976941,107.630210,3,-6,73.50
OK,1.94,31.75,63.64,465.60,-6.976941,107.630210,-7,-3,77.10
OK,1.73,31.75,63.64,465.61,-6.976941,107.630210,-5,-2,77.10
OK,2.10,31.75,63.64,465.59,-6.976941,107.630210,0,0,78.40
OK,2.02,31.75,63.62,465.59,-6.976941,107.630210,8,-3,84.10
OK,1.84,31.75,63.62,465.60,-6.976941,107.630210,8,-4,90.50
OK,1.95,31.75,63.62,465.60,-6.976941,107.630210,-1,-7,97.80
OK,2.03,31.75,63.62,465.59,-6.976945,107.630210,-5,-5,98.10
OK,1.99,31.75,63.62,465.59,-6.976945,107.630210,-10,-10,93.90
