header,ketinggian,temperature,kelembaban,tekanan,lintang,bujur,roll,pitch,yaw
OK,2.29,31.27,65.62,465.58,-6.976513,107.630355,7,-4,70.10
OK,2.17,31.26,65.59,465.58,-6.976525,107.630363,3,0,58.50
OK,2.18,31.26,65.59,465.58,-6.976525,107.630363,-4,0,55.00
OK,2.20,31.26,65.59,465.58,-6.976525,107.630363,-9,-1,55.30
OK,2.14,31.26,65.59,465.59,-6.976525,107.630363,-6,0,56.80
OK,2.20,31.26,65.59,465.58,-6.976525,107.630363,6,0,60.40
OK,2.09,31.26,65.59,465.59,-6.976525,107.630363,13,-4,67.80
OK,2.20,31.26,65.59,465.58,-6.976525,107.630363,7,-4,79.90
OK,1.94,31.27,65.61,465.60,-6.976533,107.630363,-7,-8,93.00
OK,2.26,31.27,65.61,465.58,-6.976533,107.630363,-7,-1,91.50
OK,1.99,31.27,65.61,465.59,-6.976533,107.630363,4,0,82.10
OK,2.11,31.27,65.61,465.59,-6.976533,107.630363,4,-8,71.90
OK,2.21,31.27,65.61,465.58,-6.976533,107.630363,0,-6,63.90
OK,1.89,31.28,65.61,465.60,-6.976541,107.630371,0,-8,40.00
OK,2.13,31.28,65.61,465.59,-6.976541,107.630371,-3,-7,48.90
OK,1.79,31.28,65.61,465.61,-6.976541,107.630371,1,0,60.00
OK,2.25,31.28,65.61,465.58,-6.976541,107.630371,8,6,66.70
OK,2.12,31.28,65.61,465.59,-6.976541,107.630371,4,-2,75.80
OK,2.27,31.28,65.61,465.58,-6.976541,107.630378,-4,-9,84.50
OK,2.01,31.27,65.60,465.59,-6.976550,107.630378,-3,-5,82.70
OK,2.08,31.27,65.60,465.59,-6.976550,107.630378,4,-1,74.80
OK,2.12,31.27,65.60,465.59,-6.976550,107.630378,8,-7,68.80
OK,2.41,31.27,65.60,465.57,-6.976550,107.630378,0,-7,67.60
OK,2.00,31.27,65.60,465.59,-6.976550,107.630378,-4,1,66.10
OK,1.99,31.27,65.60,465.59,-6.976550,107.630378,0,5,62.90
OK,1.78,31.24,65.62,465.61,-6.976558,107.630378,5,-6,60.60
OK,1.94,31.24,65.62,465.60,-6.976558,107.630378,4,-5,67.50
OK,2.24,31.24,65.62,465.58,-6.976558,107.630378,-2,-4,78.00
OK,1.63,31.24,65.62,465.61,-6.976558,107.630378,-4,-8,84.20
OK,2.30,31.24,65.62,465.58,-6.976558,107.630378,1,-8,84.30
OK,2.28,31.24,65.62,465.58,-6.976558,107.630378,3,2,81.40
OK,2.13,31.28,65.59,465.59,-6.976558,107.630378,1,7,71.90
OK,2.04,31.28,65.59,465.59,-6.976568,107.630378,2,-4,59.10
OK,2.01,31.28,65.59,465.59,-6.976568,107.630378,-2,-8,52.10
OK,2.46,31.28,65.59,465.57,-6.976568,107.630378,-5,-2,49.90
OK,1.98,31.28,65.59,465.59,-6.976568,107.630378,-2,-3,50.30
OK,1.73,31.28,65.59,465.61,-6.976568,107.630378,3,-6,56.30
OK,2.01,31.28,65.59,465.59,-6.976568,107.630378,2,0,69.90
OK,2.10,31.27,65.61,465.59,-6.976574,107.630378,12,-7,85.90
OK,2.09,31.27,65.61,465.59,-6.976574,107.630378,0,-13,83.50
OK,2.31,31.27,65.61,465.58,-6.976574,107.630378,-5,1,71.00
OK,2.13,31.27,65.61,465.59,-6.976574,107.630378,-3,3,49.60
OK,2.15,31.26,65.63,465.59,-6.976574,107.630378,8,-9,22.70
OK,1.93,31.26,65.63,465.60,-6.976583,107.630378,6,-9,15.00
OK,1.92,31.26,65.63,465.60,-6.976583,107.630378,-1,-3,18.20
OK,1.98,31.26,65.63,465.59,-6.976583,107.630378,-4,2,23.80
OK,2.06,31.26,65.63,465.59,-6.976583,107.630378,3,-1,27.30
OK,2.45,31.26,65.63,465.57,-6.976583,107.630378,3,-2,38.30
OK,2.06,31.26,65.63,465.59,-6.976583,107.630378,0,-3,52.60
OK,1.96,31.28,65.58,465.60,-6.976593,107.630386,0,-3,67.00
OK,1.91,31.28,65.58,465.60,-6.976593,107.630386,2,-6,73.40
OK,2.70,31.28,65.58,465.56,-6.976593,107.630386,5,-7,76.80
OK,2.07,31.28,65.58,465.59,-6.976593,107.630386,4,-6,78.60
OK,1.96,31.28,65.58,465.60,-6.976593,107.630386,0,1,76.20
OK,2.24,31.28,65.58,465.58,-6.976593,107.630386,3,3,67.50
OK,2.08,31.27,65.62,465.59,-6.976593,107.630386,-3,-2,60.00
OK,2.14,31.27,65.62,465.59,-6.976606,107.630386,-2,-5,52.10
OK,2.12,31.27,65.62,465.59,-6.976606,107.630386,0,-9,50.10
OK,1.70,31.27,65.62,465.61,-6.976606,107.630386,2,-2,66.20
OK,2.07,31.27,65.62,465.59,-6.976606,107.630386,-2,-1,72.90
OK,2.18,31.27,65.62,465.58,-6.976606,107.630386,0,0,71.80
OK,1.88,31.30,65.63,465.60,-6.976616,107.630386,4,-6,65.90
OK,1.89,31.30,65.63,465.60,-6.976616,107.630386,-1,-9,62.20
OK,2.09,31.30,65.63,465.59,-6.976616,107.630386,1,-4,54.40
OK,1.68,31.30,65.63,465.61,-6.976616,107.630386,4,-5,46.60
OK,2.11,31.30,65.63,465.59,-6.976616,107.630386,3,-3,44.90
OK,2.36,31.30,65.63,465.57,-6.976616,107.630386,0,0,46.60
OK,2.27,31.27,65.63,465.58,-6.976623,107.630386,1,2,44.50
OK,1.98,31.27,65.63,465.59,-6.976623,107.630386,9,-10,41.80
OK,2.06,31.27,65.63,465.59,-6.976623,107.630386,-7,0,53.20
OK,2.04,31.27,65.63,465.59,-6.976623,107.630386,-14,3,48.60
OK,2.17,31.27,65.63,465.58,-6.976623,107.630386,-2,-2,34.00
OK,2.32,31.27,65.63,465.58,-6.976623,107.630386,13,-13,24.10
OK,2.19,31.28,65.62,465.58,-6.976627,107.630386,0,4,40.00
OK,1.69,31.28,65.62,465.61,-6.976627,107.630386,-4,2,38.40
OK,2.20,31.28,65.62,465.58,-6.976627,107.630386,-3,-7,34.70
OK,2.32,31.28,65.62,465.58,-6.976627,107.630386,-1,-9,38.10
OK,2.03,31.28,65.62,465.59,-6.976627,107.630386,4,-3,45.40
OK,1.89,31.28,65.65,465.60,-6.976627,107.630386,2,2,55.80
OK,2.12,31.28,65.65,465.59,-6.976632,107.630386,-4,-4,62.70
OK,2.22,31.28,65.65,465.58,-6.976632,107.630386,-3,-9,68.60
OK,2.40,31.28,65.65,465.57,-6.976632,107.630386,2,-6,74.40
OK,1.70,31.28,65.66,465.61,-6.976639,107.630393,0,-13,83.20
OK,2.14,31.28,65.66,465.59,-6.976639,107.630393,-5,-13,81.40
OK,2.20,31.28,65.66,465.58,-6.976639,107.630393,4,-9,66.50
OK,2.28,31.27,65.67,465.58,-6.976645,107.630393,-6,-16,74.40
OK,1.96,31.27,65.67,465.60,-6.976645,107.630393,-3,-5,77.30
OK,1.98,31.27,65.67,465.60,-6.976645,107.630393,0,5,77.90
OK,2.30,31.27,65.67,465.58,-6.976645,107.630393,11,2,77.20
OK,2.01,31.27,65.67,465.59,-6.976645,107.630393,1,-12,82.50
OK,2.20,31.27,65.67,465.58,-6.976645,107.630393,-7,-15,82.00
OK,2.26,31.27,65.62,465.58,-6.976652,107.630393,-8,-4,69.50
OK,2.19,31.27,65.62,465.58,-6.976652,107.630393,0,2,61.40
OK,2.22,31.27,65.62,465.58,-6.976652,107.630393,8,-3,58.90
OK,2.01,31.27,65.62,465.59,-6.976652,107.630393,5,-9,64.40
OK,1.90,31.27,65.62,465.60,-6.976652,107.630393,0,-10,79.00
OK,2.05,31.27,65.62,465.59,-6.976652,107.630393,-1,-3,91.60
OK,2.05,31.28,65.65,465.59,-6.976658,107.630393,6,-6,103.90
OK,2.31,31.28,65.65,465.58,-6.976658,107.630393,0,-12,99.80
OK,1.94,31.28,65.65,465.60,-6.976658,107.630393,-3,-4,65.10
OK,2.04,31.27,65.67,465.59,-6.976658,107.630393,7,-2,47.80
OK,1.95,31.27,65.67,465.60,-6.976663,107.630393,0,-5,48.80
OK,2.09,31.27,65.67,465.59,-6.976663,107.630393,-9,-12,58.50
OK,1.56,31.27,65.67,465.62,-6.976663,107.630393,1,-4,70.30
OK,2.15,31.27,65.67,465.59,-6.976663,107.630393,10,12,82.80
OK,2.08,31.27,65.67,465.59,-6.976663,107.630393,8,15,89.30
OK,2.20,31.27,65.67,465.58,-6.976663,107.630393,3,1,86.60
OK,1.93,31.28,65.63,465.60,-6.976672,107.630401,1,-14,70.20
OK,2.39,31.28,65.63,465.57,-6.976672,107.630401,-3,-14,55.90
OK,1.99,31.28,65.63,465.59,-6.976672,107.630401,3,-4,41.60
OK,2.09,31.28,65.63,465.59,-6.976672,107.630401,9,0,33.60
OK,1.55,31.28,65.63,465.62,-6.976672,107.630401,0,-4,36.70
OK,1.77,31.28,65.63,465.61,-6.976672,107.630401,-10,-6,51.90
OK,2.67,31.28,65.65,465.56,-6.976672,107.630401,-3,-10,74.60
OK,2.04,31.28,65.65,465.59,-6.976675,107.630401,7,-2,92.70
OK,2.30,31.28,65.65,465.58,-6.976675,107.630401,7,7,108.50
OK,2.21,31.28,65.65,465.58,-6.976675,107.630401,-2,1,118.90
OK,2.13,31.28,65.65,465.59,-6.976675,107.630401,-4,1,117.20
OK,2.10,31.28,65.65,465.59,-6.976675,107.630401,-1,-5,108.90
OK,2.41,31.28,65.65,465.57,-6.976675,107.630401,7,-9,91.20
OK,2.26,31.28,65.62,465.58,-6.976673,107.630409,7,-5,74.60
OK,1.77,31.28,65.62,465.61,-6.976673,107.630409,4,-3,64.40
OK,1.72,31.28,65.62,465.61,-6.976673,107.630409,1,-4,57.30
OK,2.06,31.28,65.62,465.59,-6.976673,107.630409,0,-8,55.30
OK,2.09,31.28,65.62,465.59,-6.976673,107.630409,-4,-7,59.40
OK,2.14,31.28,65.62,465.59,-6.976673,107.630409,-3,-2,63.50
OK,1.88,31.28,65.65,465.60,-6.976673,107.630409,4,-5,65.50
OK,2.41,31.28,65.65,465.57,-6.976673,107.630409,11,-5,67.20
OK,2.04,31.28,65.65,465.59,-6.976673,107.630409,10,0,72.20
OK,1.71,31.28,65.65,465.61,-6.976673,107.630409,2,4,76.10
OK,2.13,31.28,65.65,465.59,-6.976673,107.630409,0,0,72.80
OK,2.24,31.28,65.65,465.58,-6.976673,107.630409,-3,-5,68.70
OK,2.20,31.28,65.65,465.58,-6.976673,107.630409,-2,-7,62.60
OK,2.04,31.31,65.64,465.59,-6.976676,107.630409,4,-7,58.80
OK,2.18,31.31,65.64,465.58,-6.976676,107.630409,5,-2,62.00
OK,1.91,31.31,65.64,465.60,-6.976676,107.630409,1,-5,63.90
OK,2.03,31.31,65.64,465.59,-6.976676,107.630409,-2,-8,62.50
OK,2.09,31.31,65.64,465.59,-6.976676,107.630409,4,0,55.80
OK,2.33,31.31,65.64,465.58,-6.976676,107.630409,9,1,46.80
OK,2.00,31.31,65.60,465.59,-6.976684,107.630409,-2,-4,38.10
OK,2.25,31.31,65.60,465.58,-6.976684,107.630409,-1,-2,32.70
OK,2.25,31.31,65.60,465.58,-6.976684,107.630409,1,-6,27.60
OK,1.86,31.31,65.60,465.60,-6.976684,107.630409,5,-6,28.00
OK,2.02,31.31,65.60,465.59,-6.976684,107.630409,6,-6,31.70
OK,1.85,31.31,65.60,465.60,-6.976684,107.630409,1,0,36.40
OK,2.28,31.31,65.60,465.58,-6.976684,107.630409,1,3,33.70
OK,2.36,31.31,65.63,465.57,-6.976690,107.630409,-4,-4,22.40
OK,2.46,31.31,65.63,465.57,-6.976690,107.630409,-3,-8,13.90
OK,1.75,31.31,65.63,465.61,-6.976690,107.630409,-2,-11,10.50
OK,2.07,31.31,65.63,465.59,-6.976690,107.630409,2,-7,9.80
OK,2.19,31.31,65.63,465.58,-6.976690,107.630409,9,1,6.50
OK,1.87,31.31,65.63,465.60,-6.976690,107.630409,7,0,359.70
OK,1.92,31.31,65.62,465.60,-6.976697,107.630409,3,-8,354.20
OK,1.98,31.31,65.62,465.59,-6.976697,107.630409,3,-5,359.70
OK,2.20,31.31,65.62,465.58,-6.976697,107.630409,-4,0,8.50
OK,2.19,31.31,65.62,465.58,-6.976697,107.630409,-2,0,12.30
OK,1.91,31.31,65.62,465.60,-6.976697,107.630409,2,-8,13.60
OK,2.29,31.31,65.62,465.58,-6.976697,107.630409,7,-8,16.60
OK,1.99,31.31,65.62,465.59,-6.976697,107.630409,9,-2,20.10
OK,2.00,31.31,65.61,465.59,-6.976704,107.630409,1,10,19.70
OK,2.36,31.31,65.61,465.57,-6.976704,107.630409,0,0,2.10
OK,2.14,31.31,65.61,465.59,-6.976704,107.630409,-10,-9,343.30
OK,2.03,31.31,65.61,465.59,-6.976704,107.630409,-11,-7,328.70
OK,1.81,31.31,65.61,465.60,-6.976704,107.630409,-5,-8,316.30
OK,2.15,31.31,65.61,465.59,-6.976704,107.630409,8,-17,298.20
OK,2.38,31.30,65.63,465.57,-6.976707,107.630409,16,-15,284.80
OK,2.30,31.30,65.63,465.58,-6.976707,107.630409,10,-2,285.90
OK,1.92,31.30,65.63,465.60,-6.976707,107.630409,0,1,294.70
OK,2.03,31.30,65.63,465.59,-6.976707,107.630409,-7,0,314.80
OK,2.08,31.30,65.63,465.59,-6.976707,107.630409,-8,-4,336.10
