Peserta id,Waktu,Ketinggian,Temperature,Kelembaban,Tekanan,Arah Angin,Kecepatan Angin,Lintang,Bujur
621,15:23:25,1.75,30.69,67.43,465.61,0.00,0.00,-6.976944,107.630226
621,15:23:35,1.34,30.73,67.38,465.63,0.00,0.00,-6.976925,107.630226
621,15:23:45,1.05,30.76,67.25,465.65,0.00,0.00,-6.976877,107.630226
621,15:23:55,1.35,30.78,67.06,465.63,0.00,0.00,-6.976884,107.630233
621,15:24:05,0.79,30.79,66.73,465.66,0.00,0.00,-6.976901,107.630218
621,15:24:15,1.06,30.80,66.55,465.65,0.00,0.00,-6.976895,107.630218
621,15:24:25,1.11,30.83,66.50,465.64,0.00,0.00,-6.976902,107.630210
