header,ketinggian,temperature,kelembaban,tekanan,lintang,bujur,roll,pitch,yaw
OK,-0.96,32.33,60.46,465.76,-6.976949,107.630195,1,-3,302.50
OK,-0.91,32.34,60.49,465.75,-6.976949,107.630195,1,-3,302.50
OK,-0.58,32.34,60.49,465.74,-6.976947,107.630195,1,-3,302.60
OK,-1.04,32.34,60.49,465.76,-6.976947,107.630195,1,-4,302.50
OK,-0.93,32.34,60.49,465.76,-6.976947,107.630195,1,-3,302.50
OK,-1.47,32.34,60.49,465.79,-6.976947,107.630195,1,-3,302.50
OK,-0.75,32.34,60.49,465.74,-6.976947,107.630195,1,-3,302.50
OK,-0.85,32.34,60.49,465.75,-6.976947,107.630195,1,-3,302.50
OK,-0.74,32.34,60.46,465.74,-6.976947,107.630195,1,-3,302.50
OK,-0.98,32.34,60.46,465.76,-6.976945,107.630195,1,-3,302.50
OK,-1.28,32.34,60.46,465.77,-6.976945,107.630195,1,-3,302.50
OK,-0.98,32.34,60.46,465.76,-6.976945,107.630195,1,-3,302.50
OK,-0.88,32.34,60.46,465.75,-6.976945,107.630195,1,-3,302.50
OK,-0.74,32.34,60.46,465.74,-6.976945,107.630195,1,-3,302.50
OK,-0.79,32.33,60.46,465.75,-6.976945,107.630195,1,-3,302.50
OK,-0.83,32.33,60.46,465.75,-6.976945,107.630195,1,-3,302.50
OK,-1.03,32.33,60.46,465.76,-6.976944,107.630195,1,-3,302.50
OK,-1.03,32.33,60.46,465.76,-6.976944,107.630195,1,-3,302.50
OK,-0.88,32.33,60.46,465.75,-6.976944,107.630195,1,-3,302.50
OK,-1.08,32.33,60.46,465.76,-6.976944,107.630195,1,-3,302.40
OK,-0.88,32.33,60.46,465.75,-6.976944,107.630195,1,-3,302.50
OK,-1.09,32.34,60.48,465.76,-6.976944,107.630195,1,-3,302.50
OK,-0.89,32.34,60.48,465.75,-6.976943,107.630195,1,-3,302.50
OK,-1.12,32.34,60.48,465.77,-6.976943,107.630195,1,-3,302.50
OK,-1.19,32.34,60.48,465.77,-6.976943,107.630195,1,-3,302.50
OK,-0.94,32.34,60.48,465.76,-6.976943,107.630195,1,-3,302.50
OK,-1.38,32.34,60.48,465.78,-6.976943,107.630195,1,-3,302.40
OK,-0.76,32.33,60.43,465.75,-6.976943,107.630195,1,-3,302.50
OK,-1.29,32.33,60.43,465.77,-6.976943,107.630195,1,-3,302.50
OK,-0.80,32.33,60.43,465.75,-6.976942,107.630195,1,-3,302.40
OK,-0.84,32.33,60.43,465.75,-6.976942,107.630195,1,-3,302.40
OK,-0.92,32.33,60.43,465.75,-6.976942,107.630195,1,-3,302.40
