Peserta id,Waktu,Ketinggian,Temperature,Kelembaban,Tekanan,Arah Angin,Kecepatan Angin,Lintang,Bujur
621,15:18:20,2.32,29.73,70.58,465.58,0.00,0.00,-6.976889,107.630226
621,15:18:30,2.33,29.79,70.62,465.58,0.00,0.00,-6.976889,107.630226
621,15:18:40,2.48,29.82,70.38,465.57,0.00,0.00,-6.976889,107.630226
621,15:18:50,2.46,29.87,70.15,465.57,0.00,0.00,-6.976889,107.630226
621,15:19:00,2.38,29.92,69.84,465.57,0.00,0.00,-6.976889,107.630226
621,15:19:10,2.63,29.96,69.48,465.56,0.00,0.00,-6.976889,107.630226
621,15:19:20,2.39,29.99,69.06,465.57,0.00,0.00,-6.976889,107.630226
621,15:19:30,1.81,30.01,68.74,465.60,0.00,0.00,-6.976890,107.630233
621,15:19:40,2.27,30.06,68.45,465.58,0.00,0.00,-6.976890,107.630233
621,15:19:50,2.47,30.07,68.27,465.57,0.00,0.00,-6.976890,107.630233
621,15:20:00,1.47,30.08,68.17,465.62,0.00,0.00,-6.976905,107.630233
621,15:20:10,1.24,30.11,68.05,465.64,0.00,0.00,-6.976905,107.630233
621,15:20:20,1.34,30.15,68.02,465.63,0.00,0.00,-6.976905,107.630233
621,15:20:30,1.38,30.17,68.12,465.63,0.00,0.00,-6.976905,107.630233
621,15:20:40,1.34,30.21,68.24,465.63,0.00,0.00,-6.976905,107.630233
