header,ketinggian,temperature,kelembaban,tekanan,lintang,bujur,roll,pitch,yaw
OK,0.11,32.60,64.65,465.63,-6.975935,107.630249,4,-12,237.30
OK,0.23,32.60,64.65,465.62,-6.975935,107.630249,3,-14,237.00
OK,-0.18,32.60,64.65,465.64,-6.975935,107.630249,2,-14,237.00
OK,0.01,32.58,64.64,465.63,-6.975935,107.630249,1,-14,237.80
OK,-0.39,32.58,64.64,465.66,-6.975935,107.630249,0,-17,238.40
OK,-0.25,32.58,64.64,465.65,-6.975934,107.630249,1,-18,238.70
OK,-0.23,32.58,64.64,465.65,-6.975934,107.630249,3,-19,236.40
OK,-0.27,32.58,64.64,465.65,-6.975934,107.630249,-3,-20,232.90
OK,-0.26,32.58,64.64,465.65,-6.975934,107.630249,-12,-21,232.30
OK,-0.10,32.60,64.60,465.64,-6.975934,107.630249,-18,-21,233.40
OK,-0.42,32.60,64.60,465.66,-6.975934,107.630249,-19,-21,234.00
OK,-0.06,32.60,64.60,465.64,-6.975934,107.630249,-18,-20,234.10
OK,-0.40,32.60,64.60,465.66,-6.975934,107.630249,-18,-20,234.70
OK,-0.14,32.60,64.60,465.64,-6.975934,107.630249,-16,-20,235.60
OK,-0.43,32.60,64.60,465.66,-6.975934,107.630249,-15,-20,235.80
OK,-0.44,32.60,64.60,465.66,-6.975934,107.630249,-15,-20,235.70
OK,-0.06,32.61,64.58,465.64,-6.975934,107.630249,-15,-19,235.30
OK,-0.10,32.61,64.58,465.64,-6.975934,107.630249,-14,-18,234.90
OK,-0.58,32.61,64.58,465.67,-6.975934,107.630241,-14,-18,234.70
OK,-0.41,32.61,64.58,465.66,-6.975934,107.630241,-14,-18,234.50
OK,-0.27,32.61,64.58,465.65,-6.975934,107.630241,-14,-18,234.30
OK,0.11,32.61,64.58,465.63,-6.975934,107.630241,-14,-18,234.20
OK,-0.71,32.61,64.56,465.67,-6.975934,107.630241,-13,-18,234.30
OK,-0.67,32.61,64.56,465.67,-6.975934,107.630241,-13,-18,234.20
OK,-0.07,32.61,64.56,465.64,-6.975934,107.630241,-12,-18,234.00
OK,-0.33,32.61,64.56,465.65,-6.975934,107.630241,-12,-18,233.90
OK,-0.35,32.61,64.56,465.65,-6.975934,107.630241,-12,-18,233.60
OK,-0.44,32.61,64.56,465.66,-6.975934,107.630241,-11,-18,233.40
OK,-0.16,32.61,64.56,465.64,-6.975934,107.630241,-11,-18,233.50
OK,-0.51,32.60,64.52,465.66,-6.975934,107.630241,-11,-18,233.80
OK,-0.31,32.60,64.52,465.65,-6.975934,107.630241,-11,-18,233.60
OK,-0.08,32.60,64.52,465.64,-6.975934,107.630241,-11,-18,233.60
OK,-0.35,32.60,64.52,465.65,-6.975934,107.630241,-11,-18,233.90
OK,-0.59,32.60,64.52,465.67,-6.975934,107.630241,-10,-18,234.10
OK,-0.42,32.60,64.52,465.66,-6.975934,107.630241,-10,-18,233.90
OK,-0.20,32.63,64.52,465.65,-6.975934,107.630241,-9,-17,233.80
OK,-0.29,32.63,64.52,465.65,-6.975934,107.630241,-9,-18,233.80
OK,-0.46,32.63,64.52,465.66,-6.975934,107.630241,-9,-18,233.80
OK,-0.13,32.63,64.52,465.64,-6.975934,107.630241,-9,-18,233.80
OK,-0.43,32.63,64.52,465.66,-6.975934,107.630241,-9,-18,233.70
OK,-0.46,32.63,64.52,465.66,-6.975934,107.630241,-10,-18,233.50
OK,-0.24,32.63,64.52,465.65,-6.975934,107.630241,-10,-18,233.30
OK,-0.51,32.63,64.54,465.66,-6.975934,107.630241,-9,-18,233.30
OK,-0.42,32.63,64.54,465.66,-6.975934,107.630241,-8,-18,233.40
OK,-0.06,32.63,64.54,465.64,-6.975935,107.630241,-8,-18,233.40
OK,-0.22,32.63,64.54,465.65,-6.975935,107.630241,-8,-18,233.60
OK,-0.20,32.63,64.54,465.65,-6.975935,107.630241,-8,-18,233.70
OK,-0.17,32.63,64.54,465.64,-6.975935,107.630241,-8,-18,233.80
OK,-0.28,32.63,64.48,465.65,-6.975935,107.630241,-8,-18,233.90
OK,-0.15,32.63,64.48,465.64,-6.975935,107.630241,-9,-18,234.00
OK,-0.34,32.63,64.48,465.65,-6.975935,107.630241,-8,-18,234.00
OK,-0.07,32.63,64.48,465.64,-6.975934,107.630241,-8,-19,233.90
OK,-0.72,32.63,64.48,465.67,-6.975934,107.630241,-8,-18,234.00
OK,-0.35,32.63,64.48,465.65,-6.975934,107.630241,-7,-18,234.20
OK,-0.35,32.63,64.48,465.65,-6.975934,107.630241,-7,-18,234.20
OK,-0.30,32.61,64.52,465.65,-6.975934,107.630241,-6,-18,234.20
OK,-0.37,32.61,64.52,465.66,-6.975934,107.630241,-6,-18,233.80
OK,-0.62,32.61,64.52,465.67,-6.975934,107.630241,-7,-18,233.50
OK,-0.21,32.61,64.52,465.65,-6.975934,107.630241,-7,-17,233.50
OK,-0.17,32.61,64.52,465.64,-6.975934,107.630241,-7,-18,233.60
OK,-0.28,32.61,64.52,465.65,-6.975934,107.630241,-7,-17,233.90
OK,0.17,32.64,64.49,465.63,-6.975934,107.630241,-6,-17,234.10
OK,-0.23,32.64,64.49,465.65,-6.975934,107.630241,-6,-17,234.40
OK,-0.47,32.64,64.49,465.66,-6.975934,107.630241,-6,-17,234.60
OK,-0.38,32.64,64.49,465.66,-6.975934,107.630241,-6,-17,234.90
OK,-0.22,32.64,64.49,465.65,-6.975934,107.630241,-6,-17,235.30
OK,-0.03,32.64,64.49,465.64,-6.975934,107.630241,-5,-17,235.50
OK,-0.24,32.64,64.50,465.65,-6.975934,107.630241,-5,-17,235.20
OK,-0.55,32.64,64.50,465.66,-6.975934,107.630241,-5,-18,234.70
OK,-0.11,32.64,64.50,465.64,-6.975934,107.630241,-7,-15,234.40
OK,-0.38,32.64,64.50,465.66,-6.975934,107.630241,-8,-16,234.30
OK,-0.36,32.64,64.50,465.65,-6.975934,107.630241,-8,-18,234.80
OK,-0.14,32.64,64.50,465.64,-6.975934,107.630241,-7,-19,234.90
OK,-0.31,32.64,64.50,465.65,-6.975934,107.630241,-7,-20,235.10
