header,ketinggian,temperature,kelembaban,tekanan,lintang,bujur,roll,pitch,yaw
OK,7.69,41.13,37.16,466.09,-6.976114,107.630195,0,-5,141.80
OK,7.67,41.13,37.16,466.09,-6.976114,107.630195,1,-4,141.00
OK,7.58,41.13,37.16,466.10,-6.976114,107.630195,2,-3,139.70
OK,7.41,41.13,37.16,466.11,-6.976114,107.630195,2,-3,139.70
OK,7.90,41.13,37.16,466.08,-6.976114,107.630195,1,-4,140.80
OK,7.83,41.13,37.16,466.08,-6.976114,107.630195,0,-5,141.70
OK,7.79,41.10,37.16,466.09,-6.976114,107.630195,0,-4,141.20
OK,7.53,41.10,37.16,466.10,-6.976114,107.630195,1,-4,139.90
OK,8.03,41.10,37.16,466.07,-6.976114,107.630195,2,-3,139.50
OK,7.72,41.10,37.16,466.09,-6.976114,107.630195,1,-4,140.40
OK,7.64,41.10,37.16,466.09,-6.976114,107.630195,0,-5,141.80
OK,7.84,41.10,37.16,466.08,-6.976114,107.630195,0,-5,142.00
OK,7.67,41.10,37.16,466.09,-6.976114,107.630195,1,-4,140.90
OK,7.53,41.10,37.19,466.10,-6.976114,107.630195,1,-3,139.60
OK,7.39,41.10,37.19,466.11,-6.976114,107.630195,1,-4,139.90
OK,7.65,41.10,37.19,466.09,-6.976114,107.630195,0,-4,141.10
OK,7.19,41.10,37.19,466.12,-6.976114,107.630195,0,-5,141.70
OK,7.82,41.10,37.19,466.08,-6.976114,107.630195,1,-4,141.10
OK,7.92,41.10,37.19,466.08,-6.976114,107.630195,1,-4,140.10
OK,7.79,41.12,37.23,466.09,-6.976114,107.630195,1,-4,139.80
OK,7.76,41.12,37.23,466.09,-6.976115,107.630195,0,-4,140.50
OK,7.51,41.12,37.23,466.10,-6.976115,107.630195,0,-5,141.30
OK,7.81,41.12,37.23,466.09,-6.976115,107.630195,1,-4,141.20
OK,7.68,41.12,37.23,466.09,-6.976115,107.630195,1,-4,140.40
OK,7.65,41.12,37.23,466.09,-6.976115,107.630195,1,-4,139.80
OK,7.81,41.12,37.23,466.09,-6.976115,107.630195,1,-4,140.20
OK,7.83,41.10,37.20,466.08,-6.976115,107.630195,0,-4,141.10
OK,7.72,41.10,37.20,466.09,-6.976115,107.630195,0,-4,141.10
OK,7.57,41.10,37.20,466.10,-6.976115,107.630195,1,-4,140.40
OK,7.83,41.10,37.20,466.08,-6.976115,107.630195,1,-4,140.00
OK,7.97,41.10,37.20,466.08,-6.976115,107.630195,1,-4,140.40
OK,7.69,41.10,37.20,466.09,-6.976115,107.630195,0,-4,141.20
OK,7.63,41.09,37.24,466.10,-6.976115,107.630195,0,-4,141.40
OK,7.93,41.09,37.24,466.08,-6.976115,107.630195,1,-4,140.70
OK,8.05,41.09,37.24,466.07,-6.976116,107.630195,1,-3,139.90
OK,7.98,41.09,37.24,466.08,-6.976116,107.630195,1,-4,139.80
OK,7.65,41.09,37.24,466.09,-6.976116,107.630195,1,-4,140.40
OK,7.68,41.09,37.24,466.09,-6.976116,107.630195,0,-4,140.90
OK,7.50,41.09,37.26,466.10,-6.976116,107.630195,1,-4,140.70
OK,7.45,41.09,37.26,466.11,-6.976116,107.630195,1,-4,140.10
OK,7.69,41.09,37.26,466.09,-6.976116,107.630195,1,-4,139.90
OK,7.85,41.09,37.26,466.08,-6.976116,107.630195,1,-4,140.30
OK,7.19,41.09,37.26,466.12,-6.976116,107.630195,1,-4,140.90
OK,7.58,41.09,37.26,466.10,-6.976116,107.630195,1,-4,140.90
OK,7.60,41.09,37.26,466.10,-6.976116,107.630195,1,-4,140.60
