Peserta id,Waktu,Ketinggian,Temperature,Kelembaban,Tekanan,Arah Angin,Kecepatan Angin,Lintang,Bujur
621,14:40:16,-1.57,34.67,60.17,465.72,93.72,0,-6.975948,107.630256
621,14:40:26,-0.96,34.69,59.92,465.69,82.82,0.89,-6.975947,107.630264
621,14:40:36,-0.78,34.72,59.71,465.68,74.96,1.71,-6.975943,107.630279
621,14:40:46,-1.35,34.76,59.49,465.71,0.00,0.00,-6.975824,107.630287
621,14:40:56,-0.83,34.80,59.20,465.68,0.00,1.11,-6.975783,107.630294
621,14:41:06,-0.89,34.79,59.31,465.68,0.00,1.11,-6.975783,107.630294
