Peserta id,Waktu,Ketinggian,Temperature,Kelembaban,Tekanan,Arah Angin,Kecepatan Angin,Lintang,Bujur
621,12:18:27,174.82,39.68,38.28,456.32,180.00,0.22,-6.975538,107.630729
621,12:18:37,161.08,39.69,37.58,457.07,180.00,0.22,-6.975546,107.630729
621,12:18:47,143.08,39.65,37.36,458.05,262.82,0.89,-6.975552,107.630729
621,12:18:57,117.05,39.65,37.81,459.47,0.00,0.33,-6.975554,107.630722
621,12:19:07,75.84,39.61,38.29,461.72,257.65,2.60,-6.975569,107.630622
621,12:19:17,43.19,39.52,38.22,463.52,250.69,2.69,-6.975585,107.630569
621,12:19:27,18.87,39.47,38.82,464.86,253.94,0.80,-6.975704,107.630386
621,12:19:37,6.51,39.41,39.39,465.54,262.82,0.89,-6.975730,107.630302
621,12:19:47,3.13,39.40,39.48,465.73,0.00,0.11,-6.975727,107.630294
621,12:19:57,2.19,39.38,39.87,465.78,180.00,1.67,-6.975869,107.630279
621,12:20:07,2.24,39.38,40.24,465.77,180.00,3.56,-6.975999,107.630256
621,12:20:17,2.27,39.40,41.33,465.77,180.00,2.45,-6.976107,107.630210
621,12:20:27,1.75,39.41,41.73,465.80,180.00,0.11,-6.976139,107.630195
621,12:20:37,2.05,39.44,41.32,465.79,180.00,0.33,-6.976135,107.630195
621,12:20:47,2.16,39.47,40.94,465.78,262.82,0.89,-6.976132,107.630195
621,12:20:57,2.29,39.48,40.81,465.77,180.00,0.33,-6.976137,107.630203
621,12:21:07,2.30,39.52,40.90,465.77,0.00,0.11,-6.976125,107.630210
621,12:21:17,2.39,39.58,40.17,465.77,104.14,0.91,-6.976118,107.630226
621,12:21:27,1.11,39.61,40.42,465.84,278.19,0.78,-6.976127,107.630203
