header,ketinggian,temperature,kelembaban,tekanan,lintang,bujur,roll,pitch,yaw
OK,-1.32,32.18,61.94,465.78,-6.976917,107.630233,1,-3,305.20
OK,-1.36,32.18,61.94,465.78,-6.976917,107.630233,1,-3,305.30
OK,-1.25,32.18,61.94,465.77,-6.976917,107.630233,1,-3,305.30
OK,-1.74,32.18,61.94,465.80,-6.976918,107.630233,1,-3,305.10
OK,-1.31,32.18,61.94,465.78,-6.976918,107.630233,1,-3,305.00
OK,-1.50,32.18,61.94,465.79,-6.976918,107.630233,1,-3,305.10
OK,-1.43,32.16,61.97,465.78,-6.976918,107.630233,1,-3,305.30
OK,-1.52,32.16,61.97,465.79,-6.976918,107.630233,1,-3,305.40
OK,-1.23,32.16,61.97,465.77,-6.976918,107.630233,1,-3,305.20
OK,-1.25,32.16,61.97,465.77,-6.976918,107.630233,1,-3,305.10
OK,-1.57,32.16,61.97,465.79,-6.976919,107.630233,1,-3,305.10
OK,-1.11,32.16,61.97,465.77,-6.976919,107.630233,1,-3,305.20
OK,-1.38,32.20,61.99,465.78,-6.976919,107.630233,1,-3,305.30
OK,-1.13,32.20,61.99,465.77,-6.976919,107.630233,1,-3,305.20
OK,-1.47,32.20,61.99,465.79,-6.976919,107.630233,1,-3,305.10
OK,-1.57,32.20,61.99,465.79,-6.976919,107.630233,1,-3,305.10
OK,-1.70,32.20,61.99,465.80,-6.976919,107.630233,1,-3,305.20
OK,-1.65,32.20,61.99,465.80,-6.976919,107.630233,1,-3,305.30
OK,-1.28,32.20,61.99,465.77,-6.976919,107.630233,1,-3,305.30
OK,-1.64,32.19,62.01,465.79,-6.976919,107.630233,1,-3,305.10
OK,-1.39,32.19,62.01,465.78,-6.976919,107.630233,1,-3,305.00
OK,-1.24,32.19,62.01,465.77,-6.976919,107.630233,1,-3,305.10
OK,-1.10,32.19,62.01,465.76,-6.976919,107.630233,1,-3,305.30
OK,-1.43,32.19,62.01,465.78,-6.976920,107.630233,1,-3,305.30
OK,-1.36,32.19,62.01,465.78,-6.976920,107.630233,1,-3,305.20
OK,-1.43,32.20,62.01,465.78,-6.976920,107.630233,1,-3,305.10
OK,-1.18,32.20,62.01,465.77,-6.976920,107.630233,1,-3,305.10
OK,-1.46,32.20,62.01,465.78,-6.976920,107.630233,1,-3,305.30
OK,-1.06,32.20,62.01,465.76,-6.976920,107.630233,1,-3,305.30
OK,-1.39,32.20,62.01,465.78,-6.976921,107.630233,1,-3,305.20
OK,-1.57,32.20,62.01,465.79,-6.976921,107.630233,1,-3,305.10
OK,-1.41,32.18,61.97,465.78,-6.976921,107.630233,1,-3,305.10
OK,-1.28,32.18,61.97,465.77,-6.976921,107.630233,1,-3,305.30
OK,-1.63,32.18,61.97,465.79,-6.976921,107.630233,1,-3,305.30
OK,-1.80,32.18,61.97,465.80,-6.976921,107.630233,1,-3,305.30
OK,-1.63,32.18,61.97,465.79,-6.976921,107.630233,1,-3,305.10
OK,-1.45,32.18,61.97,465.78,-6.976921,107.630233,1,-3,305.00
OK,-1.40,32.18,61.97,465.78,-6.976921,107.630233,1,-3,305.10
OK,-1.03,32.20,61.96,465.76,-6.976921,107.630233,1,-3,305.30
OK,-0.90,32.20,61.96,465.75,-6.976921,107.630233,1,-3,305.30
OK,-1.28,32.20,61.96,465.77,-6.976921,107.630233,1,-3,305.20
OK,-1.40,32.20,61.96,465.78,-6.976921,107.630233,1,-4,305.10
OK,-1.30,32.20,61.96,465.78,-6.976921,107.630233,1,-3,305.20
OK,-1.62,32.20,61.96,465.79,-6.976921,107.630233,1,-3,305.30
OK,-1.50,32.19,61.97,465.79,-6.976921,107.630233,1,-3,305.30
OK,-1.51,32.19,61.97,465.79,-6.976921,107.630233,1,-3,305.20
OK,-1.16,32.19,61.97,465.77,-6.976921,107.630233,1,-3,305.10
OK,-1.33,32.19,61.97,465.78,-6.976921,107.630233,1,-3,305.10
OK,-1.53,32.19,61.97,465.79,-6.976921,107.630233,1,-3,305.20
OK,-1.49,32.19,61.97,465.79,-6.976921,107.630233,1,-3,305.30
OK,-1.51,32.19,61.97,465.79,-6.976921,107.630233,1,-3,305.20
OK,-1.15,32.19,61.99,465.77,-6.976921,107.630233,1,-3,305.10
OK,-1.47,32.19,61.99,465.79,-6.976921,107.630233,1,-3,305.10
OK,-1.74,32.19,61.99,465.80,-6.976921,107.630233,1,-3,305.20
OK,-1.37,32.19,61.99,465.78,-6.976921,107.630233,1,-3,305.30
OK,-1.57,32.19,61.99,465.79,-6.976921,107.630233,1,-3,305.20
OK,-1.71,32.19,61.99,465.80,-6.976921,107.630233,1,-4,305.10
OK,-1.29,32.20,62.02,465.78,-6.976921,107.630233,1,-4,305.10
OK,-1.31,32.20,62.02,465.78,-6.976921,107.630233,1,-3,305.20
OK,-1.74,32.20,62.02,465.80,-6.976921,107.630233,1,-3,305.30
OK,-1.05,32.20,62.02,465.76,-6.976921,107.630233,1,-3,305.30
OK,-1.14,32.20,62.02,465.77,-6.976921,107.630233,1,-3,305.20
OK,-1.26,32.20,62.02,465.77,-6.976921,107.630233,1,-3,305.10
OK,-1.56,32.20,62.02,465.79,-6.976921,107.630233,1,-3,305.10
OK,-1.88,32.20,61.98,465.81,-6.976921,107.630233,1,-3,305.30
OK,-1.41,32.20,61.98,465.78,-6.976921,107.630233,1,-3,305.30
OK,-1.44,32.20,61.98,465.78,-6.976921,107.630233,1,-3,305.20
OK,-1.19,32.20,61.98,465.77,-6.976921,107.630233,1,-3,305.10
OK,-1.60,32.20,61.98,465.79,-6.976921,107.630233,1,-3,305.10
OK,-1.15,32.20,61.98,465.77,-6.976921,107.630233,1,-3,305.20
OK,-1.16,32.19,62.01,465.77,-6.976921,107.630233,1,-3,305.30
OK,-1.53,32.19,62.01,465.79,-6.976921,107.630233,1,-3,305.30
OK,-1.25,32.19,62.01,465.77,-6.976921,107.630233,1,-3,305.20
OK,-1.41,32.19,62.01,465.78,-6.976921,107.630233,1,-3,305.10
OK,-1.45,32.19,62.01,465.78,-6.976921,107.630233,1,-3,305.20
OK,-1.57,32.19,62.01,465.79,-6.976921,107.630233,1,-3,305.30
OK,-1.60,32.19,62.01,465.79,-6.976921,107.630233,1,-3,305.20
OK,-1.37,32.19,61.98,465.78,-6.976921,107.630233,1,-3,305.20
OK,-1.29,32.19,61.98,465.77,-6.976921,107.630233,1,-4,305.10
OK,-1.06,32.19,61.98,465.76,-6.976921,107.630233,1,-3,305.10
OK,-1.23,32.19,61.98,465.77,-6.976921,107.630233,1,-3,305.20
OK,-1.21,32.19,61.98,465.77,-6.976922,107.630233,1,-3,305.30
OK,-1.62,32.19,61.98,465.79,-6.976922,107.630233,1,-3,305.30
OK,-1.42,32.20,61.98,465.78,-6.976922,107.630233,1,-4,305.20
OK,-1.48,32.20,61.98,465.79,-6.976922,107.630233,1,-4,305.20
OK,-1.28,32.20,61.98,465.77,-6.976922,107.630233,1,-3,305.20
OK,-1.45,32.20,61.98,465.78,-6.976922,107.630233,1,-3,305.30
OK,-1.33,32.20,61.98,465.78,-6.976922,107.630233,1,-3,305.20
OK,-1.59,32.20,61.98,465.79,-6.976922,107.630233,1,-3,305.20
OK,-1.32,32.20,61.98,465.78,-6.976922,107.630233,1,-3,305.20
OK,-1.25,32.20,61.98,465.77,-6.976922,107.630233,1,-3,305.30
OK,-1.43,32.20,61.98,465.78,-6.976922,107.630233,1,-3,305.30
OK,-1.52,32.20,61.98,465.79,-6.976922,107.630233,1,-3,305.30
OK,-1.36,32.20,61.98,465.78,-6.976922,107.630233,1,-3,305.20
OK,-1.07,32.20,61.98,465.76,-6.976922,107.630233,1,-3,305.20
OK,-1.51,32.20,61.98,465.79,-6.976922,107.630233,1,-3,305.20
OK,-1.50,32.19,62.02,465.79,-6.976922,107.630233,1,-3,305.20
OK,-1.35,32.19,62.02,465.78,-6.976922,107.630233,1,-3,305.30
OK,-1.64,32.19,62.02,465.79,-6.976922,107.630233,1,-3,305.20
OK,-1.56,32.19,62.02,465.79,-6.976922,107.630233,1,-3,305.10
OK,-1.52,32.19,62.02,465.79,-6.976922,107.630241,1,-3,305.10
OK,-1.42,32.19,62.02,465.78,-6.976922,107.630241,1,-3,305.20
OK,-1.59,32.19,62.04,465.79,-6.976922,107.630241,1,-3,305.30
OK,-1.54,32.19,62.04,465.79,-6.976922,107.630241,1,-3,305.20
OK,-1.61,32.19,62.04,465.79,-6.976922,107.630241,1,-3,305.10
OK,-1.33,32.19,62.04,465.78,-6.976922,107.630241,1,-3,305.20
OK,-1.24,32.19,62.04,465.77,-6.976922,107.630241,1,-3,305.20
OK,-1.37,32.19,62.04,465.78,-6.976922,107.630241,1,-3,305.20
OK,-1.46,32.19,62.04,465.78,-6.976922,107.630241,1,-3,305.30
OK,-0.98,32.19,61.98,465.76,-6.976922,107.630241,1,-3,305.20
OK,-1.45,32.19,61.98,465.78,-6.976922,107.630241,1,-3,305.20
OK,-1.31,32.19,61.98,465.78,-6.976922,107.630241,1,-3,305.20
OK,-1.37,32.19,61.98,465.78,-6.976922,107.630241,1,-3,305.20
OK,-1.55,32.19,61.98,465.79,-6.976923,107.630241,1,-3,305.30
OK,-1.74,32.19,61.98,465.80,-6.976923,107.630241,1,-3,305.20
OK,-1.31,32.20,61.98,465.78,-6.976923,107.630241,1,-3,305.20
OK,-1.10,32.20,61.98,465.76,-6.976923,107.630241,1,-3,305.20
OK,-1.82,32.20,61.98,465.80,-6.976923,107.630241,1,-3,305.20
