Peserta id,Waktu,Ketinggian,Temperature,Kelembaban,Tekanan,Arah Angin,Kecepatan Angin,Lintang,Bujur
621,12:15:50,5.19,40.26,38.21,465.61,180.00,0.33,-6.975813,107.630371
621,12:16:00,4.48,40.26,38.24,465.65,180.00,0.89,-6.975834,107.630371
621,12:16:10,9.00,40.20,37.95,465.40,0.00,1.00,-6.975864,107.630371
621,12:16:20,18.62,40.19,38.02,464.87,0.00,0.33,-6.975810,107.630363
621,12:16:30,41.31,40.16,38.12,463.62,0.00,0.11,-6.975789,107.630363
621,12:16:40,46.83,40.13,38.01,463.32,180.00,0.22,-6.975802,107.630363
621,12:16:50,52.17,40.09,37.80,463.02,93.84,1.66,-6.975813,107.630424
621,12:17:00,57.48,40.04,37.97,462.73,95.01,2.55,-6.975828,107.630661
621,12:17:10,64.03,40.03,38.13,462.37,82.35,1.67,-6.975834,107.630950
621,12:17:20,60.92,39.92,37.87,462.54,22.68,2.29,-6.975465,107.631042
621,12:17:30,64.96,39.86,38.31,462.32,310.81,1.02,-6.975398,107.630928
621,12:17:40,71.19,39.82,38.32,461.98,216.67,2.77,-6.975466,107.630798
621,12:17:50,89.91,39.77,38.37,460.95,0.00,0.33,-6.975517,107.630737
621,12:18:00,127.41,39.73,38.06,458.90,180.00,0.11,-6.975531,107.630737
621,12:18:10,146.90,39.69,38.07,457.84,180.00,0.11,-6.975532,107.630729
