header,ketinggian,temperature,kelembaban,tekanan,lintang,bujur,roll,pitch,yaw
OK,0.95,30.71,67.49,465.65,-6.976935,107.630218,1,-3,316.60
OK,0.81,30.71,67.49,465.66,-6.976935,107.630218,1,-3,316.40
OK,0.60,30.71,67.49,465.67,-6.976935,107.630218,1,-3,316.30
OK,0.78,30.71,67.49,465.66,-6.976935,107.630218,1,-3,316.40
OK,0.94,30.69,67.49,465.65,-6.976935,107.630218,1,-3,316.60
OK,1.07,30.69,67.49,465.65,-6.976935,107.630218,1,-3,316.60
OK,0.50,30.69,67.49,465.68,-6.976935,107.630226,1,-3,316.40
OK,0.77,30.69,67.49,465.66,-6.976935,107.630226,1,-3,316.30
OK,1.25,30.69,67.49,465.64,-6.976935,107.630226,1,-3,316.40
OK,0.94,30.69,67.49,465.65,-6.976935,107.630226,1,-3,316.50
OK,1.06,30.68,67.47,465.65,-6.976935,107.630226,1,-3,316.60
OK,1.21,30.68,67.47,465.64,-6.976935,107.630226,1,-3,316.60
OK,0.49,30.68,67.47,465.68,-6.976935,107.630226,1,-3,316.30
OK,0.87,30.68,67.47,465.66,-6.976936,107.630226,1,-3,316.30
OK,0.81,30.68,67.47,465.66,-6.976936,107.630226,1,-3,316.40
OK,1.15,30.68,67.47,465.64,-6.976936,107.630226,1,-3,316.60
OK,0.96,30.69,67.47,465.65,-6.976936,107.630226,1,-3,316.60
OK,0.86,30.69,67.47,465.66,-6.976936,107.630226,1,-3,316.50
OK,0.96,30.69,67.47,465.65,-6.976936,107.630226,1,-3,316.30
OK,0.91,30.69,67.47,465.65,-6.976938,107.630226,1,-3,316.40
OK,0.83,30.69,67.47,465.66,-6.976938,107.630226,1,-3,316.60
OK,0.66,30.69,67.47,465.67,-6.976938,107.630226,1,-3,316.60
OK,0.99,30.69,67.47,465.65,-6.976938,107.630226,1,-3,316.60
OK,0.94,30.65,67.44,465.65,-6.976938,107.630226,1,-3,316.50
OK,1.35,30.65,67.44,465.63,-6.976938,107.630226,1,-3,316.40
OK,0.80,30.65,67.44,465.66,-6.976938,107.630226,1,-3,316.50
OK,1.26,30.65,67.44,465.63,-6.976939,107.630226,1,-3,316.60
OK,0.81,30.65,67.44,465.66,-6.976939,107.630226,1,-3,316.60
OK,1.23,30.65,67.44,465.64,-6.976939,107.630226,1,-3,316.50
OK,1.01,30.69,67.45,465.65,-6.976939,107.630226,1,-3,316.50
OK,0.97,30.69,67.45,465.65,-6.976939,107.630226,1,-3,316.50
OK,0.81,30.69,67.45,465.66,-6.976939,107.630226,1,-3,316.60
OK,0.67,30.69,67.45,465.67,-6.976940,107.630226,1,-3,316.60
OK,1.12,30.69,67.45,465.64,-6.976940,107.630226,1,-3,316.50
OK,0.96,30.69,67.45,465.65,-6.976940,107.630226,1,-3,316.40
OK,0.97,30.69,67.45,465.65,-6.976940,107.630226,1,-3,316.40
OK,0.85,30.68,67.47,465.66,-6.976940,107.630226,1,-3,316.60
OK,1.31,30.68,67.47,465.63,-6.976940,107.630226,1,-3,316.70
OK,0.77,30.68,67.47,465.66,-6.976940,107.630218,1,-3,316.50
OK,0.79,30.68,67.47,465.66,-6.976941,107.630218,1,-3,316.40
OK,0.78,30.68,67.47,465.66,-6.976941,107.630218,1,-3,316.40
OK,0.99,30.68,67.47,465.65,-6.976941,107.630218,1,-3,316.50
OK,0.85,30.68,67.45,465.66,-6.976941,107.630218,1,-3,316.60
