Peserta id,Waktu,Ketinggian,Temperature,Kelembaban,Tekanan,Arah Angin,Kecepatan Angin,Lintang,Bujur
621,11:34:04,4.12,44.40,39.38,466.29,180.00,0.11,-6.975908,107.630233
621,11:34:14,5.11,44.42,39.46,466.23,286.06,0.80,-6.975909,107.630226
621,11:34:24,13.29,44.45,39.44,465.78,0.00,0.00,-6.975918,107.630249
621,11:34:34,8.47,44.42,34.83,466.05,0.00,0.22,-6.975921,107.630256
621,11:34:44,3.15,44.40,33.68,466.34,0.00,0.00,-6.975899,107.630241
621,11:34:54,3.63,44.31,34.08,466.32,0.00,0.00,-6.975899,107.630249
621,11:35:04,3.97,44.30,33.12,466.30,106.06,0.80,-6.975899,107.630256
621,11:35:14,7.26,44.23,33.72,466.12,270.00,0.77,-6.975883,107.630264
621,11:35:24,20.18,44.19,31.83,465.40,66.65,0.84,-6.975879,107.630271
621,11:35:34,27.46,44.12,30.87,465.00,90.00,0.77,-6.975852,107.630317
621,11:35:44,32.95,44.04,30.50,464.70,51.13,2.13,-6.975755,107.630447
621,11:35:54,38.84,43.96,30.59,464.37,50.23,3.30,-6.975608,107.630630
621,11:36:04,44.05,43.86,30.83,464.09,56.69,3.04,-6.975416,107.630851
621,11:36:14,51.43,43.74,32.50,463.68,180.00,1.11,-6.975470,107.630897
621,11:36:24,55.53,43.58,32.06,463.45,180.00,0.67,-6.975532,107.630973
621,11:36:34,59.60,43.47,31.85,463.23,262.82,0.89,-6.975579,107.631042
621,11:36:44,63.20,43.32,32.65,463.03,272.51,2.54,-6.975580,107.630874
621,11:36:54,61.64,43.20,32.63,463.12,270.00,0.88,-6.975585,107.630683
621,11:37:04,60.41,43.12,32.65,463.19,0.00,0.00,-6.975627,107.630546
621,11:37:14,56.44,43.00,33.03,463.40,180.00,0.11,-6.975634,107.630546
