header,ketinggian,temperature,kelembaban,tekanan,lintang,bujur,roll,pitch,yaw
OK,-0.83,32.30,61.34,465.75,-6.976917,107.630218,1,-3,305.30
OK,-0.69,32.30,61.34,465.74,-6.976917,107.630218,1,-3,305.30
OK,-0.99,32.30,61.34,465.76,-6.976917,107.630218,1,-3,305.30
OK,-0.70,32.30,61.34,465.74,-6.976917,107.630218,1,-3,305.30
OK,-1.05,32.30,61.34,465.76,-6.976917,107.630218,1,-3,305.30
OK,-0.86,32.30,61.34,465.75,-6.976917,107.630218,1,-3,305.30
OK,-0.95,32.33,61.32,465.76,-6.976917,107.630218,1,-3,305.30
OK,-0.59,32.33,61.32,465.74,-6.976917,107.630218,1,-3,305.30
OK,-0.51,32.33,61.32,465.73,-6.976917,107.630218,1,-3,305.30
OK,-0.77,32.33,61.32,465.75,-6.976917,107.630218,1,-3,305.30
OK,-0.79,32.33,61.32,465.75,-6.976917,107.630218,1,-3,305.30
OK,-0.80,32.33,61.32,465.75,-6.976917,107.630218,1,-3,305.30
OK,-0.77,32.30,61.37,465.75,-6.976917,107.630218,1,-3,305.20
OK,-0.89,32.30,61.37,465.75,-6.976917,107.630218,1,-3,305.30
OK,-0.43,32.30,61.37,465.73,-6.976917,107.630218,1,-3,305.30
OK,-0.48,32.30,61.37,465.73,-6.976917,107.630218,1,-3,305.30
OK,-0.67,32.30,61.37,465.74,-6.976917,107.630218,1,-3,305.30
OK,-0.91,32.30,61.37,465.75,-6.976917,107.630218,1,-3,305.30
OK,-0.67,32.30,61.36,465.74,-6.976917,107.630218,1,-3,305.20
OK,-0.57,32.30,61.36,465.74,-6.976917,107.630218,1,-3,305.30
OK,-0.65,32.30,61.36,465.74,-6.976917,107.630218,1,-3,305.30
OK,-0.52,32.30,61.36,465.73,-6.976917,107.630218,1,-3,305.30
OK,-0.61,32.30,61.36,465.74,-6.976917,107.630218,1,-3,305.30
OK,-0.78,32.30,61.36,465.75,-6.976917,107.630218,1,-3,305.30
OK,-0.84,32.30,61.36,465.75,-6.976917,107.630218,1,-3,305.30
OK,-1.13,32.30,61.35,465.77,-6.976917,107.630218,1,-3,305.20
OK,-1.04,32.30,61.35,465.76,-6.976918,107.630218,1,-3,305.30
OK,-0.67,32.30,61.35,465.74,-6.976918,107.630218,1,-3,305.30
OK,-0.85,32.30,61.35,465.75,-6.976918,107.630218,1,-3,305.30
OK,-1.25,32.30,61.35,465.77,-6.976918,107.630218,1,-3,305.30
OK,-0.70,32.30,61.35,465.74,-6.976918,107.630218,1,-3,305.30
OK,-0.41,32.32,61.31,465.73,-6.976918,107.630218,1,-3,305.30
OK,-0.50,32.32,61.31,465.73,-6.976918,107.630218,1,-3,305.30
OK,-0.63,32.32,61.31,465.74,-6.976918,107.630218,1,-3,305.30
OK,-1.08,32.32,61.31,465.76,-6.976918,107.630218,1,-3,305.30
OK,-0.58,32.32,61.31,465.74,-6.976918,107.630218,1,-3,305.30
OK,-1.05,32.32,61.31,465.76,-6.976918,107.630218,1,-3,305.30
OK,-1.07,32.32,61.31,465.76,-6.976918,107.630218,1,-3,305.30
OK,-0.73,32.30,61.36,465.74,-6.976918,107.630218,1,-3,305.30
OK,-1.04,32.30,61.36,465.76,-6.976918,107.630218,1,-3,305.30
OK,-0.48,32.30,61.36,465.73,-6.976918,107.630218,1,-3,305.20
OK,-0.82,32.30,61.36,465.75,-6.976918,107.630218,1,-3,305.30
OK,-0.84,32.30,61.36,465.75,-6.976918,107.630218,1,-3,305.30
OK,-1.05,32.30,61.36,465.76,-6.976918,107.630218,1,-3,305.20
OK,-0.49,32.30,61.32,465.73,-6.976918,107.630218,1,-3,305.20
OK,-1.14,32.30,61.32,465.77,-6.976918,107.630218,1,-3,305.20
OK,-0.37,32.30,61.32,465.72,-6.976918,107.630218,1,-3,305.30
OK,-0.47,32.30,61.32,465.73,-6.976918,107.630218,1,-3,305.30
OK,-0.70,32.30,61.32,465.74,-6.976918,107.630218,1,-3,305.30
OK,-0.69,32.30,61.32,465.74,-6.976918,107.630218,1,-3,305.30
OK,-0.61,32.30,61.32,465.74,-6.976918,107.630218,1,-3,305.30
OK,-0.66,32.32,61.33,465.74,-6.976918,107.630218,1,-3,305.30
OK,-0.97,32.32,61.33,465.76,-6.976918,107.630218,1,-3,305.40
OK,-0.76,32.32,61.33,465.75,-6.976918,107.630218,1,-3,305.40
OK,-1.14,32.32,61.33,465.77,-6.976918,107.630218,1,-3,305.30
OK,-0.64,32.32,61.33,465.74,-6.976918,107.630218,1,-3,305.30
OK,-0.66,32.32,61.33,465.74,-6.976918,107.630218,1,-3,305.20
OK,-0.78,32.29,61.30,465.75,-6.976918,107.630218,1,-3,305.20
OK,-0.67,32.29,61.30,465.74,-6.976918,107.630218,1,-3,305.30
OK,-1.01,32.29,61.30,465.76,-6.976918,107.630218,1,-3,305.30
OK,-0.70,32.29,61.30,465.74,-6.976918,107.630218,1,-3,305.30
OK,-0.75,32.29,61.30,465.75,-6.976918,107.630218,1,-3,305.30
OK,-0.54,32.29,61.30,465.73,-6.976918,107.630218,1,-3,305.30
OK,-0.70,32.29,61.30,465.74,-6.976918,107.630218,1,-3,305.30
OK,-0.81,32.32,61.31,465.75,-6.976918,107.630218,1,-3,305.30
OK,-0.72,32.32,61.31,465.74,-6.976918,107.630218,1,-3,305.30
OK,-0.89,32.32,61.31,465.75,-6.976918,107.630218,1,-3,305.30
OK,-0.49,32.32,61.31,465.73,-6.976918,107.630218,1,-3,305.30
OK,-0.43,32.32,61.31,465.73,-6.976918,107.630218,1,-3,305.30
OK,-0.62,32.32,61.31,465.74,-6.976918,107.630218,1,-3,305.30
OK,-0.90,32.30,61.34,465.75,-6.976918,107.630218,1,-3,305.20
OK,-0.29,32.30,61.34,465.72,-6.976919,107.630218,1,-3,305.20
OK,-0.42,32.30,61.34,465.73,-6.976919,107.630218,1,-3,305.20
OK,-0.95,32.30,61.34,465.76,-6.976919,107.630218,1,-3,305.20
