header,ketinggian,temperature,kelembaban,tekanan,lintang,bujur,roll,pitch,yaw
OK,5.56,43.71,42.04,466.56,-6.976131,107.630241,0,-4,141.60
OK,5.27,43.72,42.07,466.57,-6.976131,107.630241,1,-4,141.80
OK,5.42,43.72,42.07,466.57,-6.976131,107.630241,1,-4,141.30
OK,5.19,43.72,42.07,466.58,-6.976132,107.630241,1,-4,140.90
OK,4.85,43.72,42.07,466.60,-6.976132,107.630241,1,-4,140.90
OK,5.03,43.72,42.07,466.59,-6.976132,107.630241,0,-4,141.30
OK,5.45,43.72,42.07,466.56,-6.976132,107.630241,1,-4,141.50
OK,5.61,43.72,42.07,466.55,-6.976132,107.630241,1,-4,141.40
OK,5.29,43.72,42.07,466.57,-6.976132,107.630241,1,-4,141.10
OK,5.41,43.72,42.07,466.57,-6.976132,107.630241,1,-4,141.20
OK,5.04,43.72,42.07,466.59,-6.976132,107.630241,1,-4,141.30
OK,5.47,43.72,42.07,466.56,-6.976132,107.630241,1,-4,141.40
OK,5.57,43.72,42.07,466.56,-6.976132,107.630241,1,-4,141.30
OK,5.29,43.72,42.07,466.57,-6.976132,107.630241,1,-4,141.10
OK,5.25,43.74,42.08,466.57,-6.976132,107.630241,1,-4,141.40
OK,5.32,43.74,42.08,466.57,-6.976132,107.630241,1,-4,141.60
OK,5.21,43.74,42.08,466.58,-6.976132,107.630241,0,-4,141.60
OK,5.14,43.74,42.08,466.58,-6.976132,107.630241,1,-4,141.40
OK,5.13,43.74,42.08,466.58,-6.976132,107.630241,1,-4,141.30
OK,5.41,43.74,42.08,466.57,-6.976132,107.630241,1,-4,141.30
OK,5.30,43.74,42.08,466.57,-6.976132,107.630241,1,-4,141.50
OK,4.89,43.74,42.10,466.59,-6.976132,107.630241,1,-4,141.50
OK,5.16,43.74,42.10,466.58,-6.976132,107.630241,1,-4,141.50
OK,5.28,43.74,42.10,466.57,-6.976132,107.630241,1,-4,141.40
OK,5.23,43.74,42.10,466.58,-6.976132,107.630241,1,-4,141.30
OK,5.46,43.74,42.10,466.56,-6.976132,107.630241,1,-4,141.20
OK,5.14,43.74,42.10,466.58,-6.976132,107.630241,0,-4,141.30
OK,5.09,43.72,42.13,466.58,-6.976132,107.630241,1,-5,141.30
OK,5.21,43.72,42.13,466.58,-6.976132,107.630241,1,-4,141.40
OK,5.45,43.72,42.13,466.56,-6.976132,107.630233,1,-4,141.50
OK,5.19,43.72,42.13,466.58,-6.976132,107.630233,1,-4,141.50
OK,5.13,43.72,42.13,466.58,-6.976132,107.630233,0,-4,141.30
OK,5.18,43.72,42.13,466.58,-6.976132,107.630233,1,-5,141.30
OK,5.66,43.72,42.13,466.55,-6.976132,107.630233,1,-5,141.40
OK,5.80,43.74,42.16,466.54,-6.976132,107.630233,1,-5,141.80
OK,5.16,43.74,42.16,466.58,-6.976132,107.630233,1,-5,141.80
OK,5.27,43.74,42.16,466.57,-6.976132,107.630233,1,-5,141.60
OK,5.40,43.74,42.16,466.57,-6.976132,107.630233,1,-5,141.30
OK,5.48,43.74,42.16,466.56,-6.976132,107.630233,1,-5,141.40
OK,5.47,43.74,42.16,466.56,-6.976132,107.630233,1,-5,141.80
OK,5.28,43.74,42.17,466.57,-6.976132,107.630233,1,-5,141.80
OK,5.78,43.74,42.17,466.55,-6.976132,107.630233,1,-5,141.70
OK,5.42,43.74,42.17,466.56,-6.976131,107.630233,1,-5,141.20
OK,5.23,43.74,42.17,466.58,-6.976131,107.630233,1,-4,141.00
OK,5.55,43.74,42.17,466.56,-6.976131,107.630233,1,-5,141.40
OK,5.52,43.74,42.17,466.56,-6.976131,107.630233,0,-5,142.00
