header,ketinggian,temperature,kelembaban,tekanan,lintang,bujur,roll,pitch,yaw
OK,0.31,43.85,37.01,466.50,-6.976169,107.630249,0,-12,142.00
OK,0.58,43.85,37.01,466.49,-6.976169,107.630249,0,-10,128.20
OK,0.35,43.85,37.01,466.50,-6.976169,107.630249,0,-9,120.10
OK,0.52,43.83,37.05,466.49,-6.976169,107.630249,3,-5,119.30
OK,0.57,43.83,37.05,466.49,-6.976169,107.630249,2,-3,121.90
OK,0.08,43.83,37.05,466.51,-6.976169,107.630249,1,-3,127.10
OK,0.22,43.83,37.05,466.50,-6.976169,107.630249,0,-4,130.90
OK,0.02,43.83,37.05,466.52,-6.976169,107.630249,0,-4,133.20
OK,-0.02,43.83,37.05,466.52,-6.976169,107.630249,0,-4,134.50
OK,-0.04,43.83,37.13,466.52,-6.976169,107.630249,0,-5,135.30
OK,0.01,43.83,37.13,466.52,-6.976169,107.630249,0,-4,135.40
OK,0.04,43.83,37.13,466.51,-6.976169,107.630249,0,-5,135.50
OK,0.11,43.83,37.13,466.51,-6.976169,107.630249,0,-5,139.80
OK,0.09,43.83,37.13,466.51,-6.976169,107.630249,-1,-5,147.10
OK,0.43,43.83,37.13,466.49,-6.976169,107.630249,0,-6,154.50
OK,-0.06,43.83,37.13,466.52,-6.976169,107.630249,2,-6,158.60
OK,-0.13,43.83,37.16,466.52,-6.976169,107.630249,2,-3,160.40
OK,-0.26,43.83,37.16,466.53,-6.976170,107.630249,1,-2,159.10
OK,-0.06,43.83,37.16,466.52,-6.976170,107.630249,0,-3,156.90
OK,0.00,43.83,37.16,466.52,-6.976170,107.630249,-1,-5,153.20
OK,0.25,43.83,37.16,466.50,-6.976170,107.630249,0,-6,149.00
OK,-0.03,43.83,37.16,466.52,-6.976170,107.630249,2,-4,146.90
OK,0.34,43.80,37.23,466.50,-6.976170,107.630249,2,-3,149.60
OK,0.42,43.80,37.23,466.49,-6.976171,107.630249,1,-3,154.30
OK,0.08,43.80,37.23,466.51,-6.976171,107.630249,0,-4,157.90
OK,0.25,43.80,37.23,466.50,-6.976171,107.630249,0,-5,158.00
OK,0.09,43.80,37.23,466.51,-6.976171,107.630249,0,-5,155.10
OK,0.21,43.80,37.23,466.51,-6.976171,107.630249,1,-3,151.70
OK,0.29,43.80,37.23,466.50,-6.976171,107.630249,2,-3,150.40
OK,0.43,43.82,37.31,466.49,-6.976171,107.630249,0,-4,151.90
OK,0.08,43.82,37.31,466.51,-6.976168,107.630249,0,-4,153.70
OK,-0.11,43.82,37.31,466.52,-6.976168,107.630249,0,-4,154.30
OK,-0.16,43.82,37.31,466.53,-6.976168,107.630249,1,-4,153.70
OK,-0.12,43.82,37.31,466.52,-6.976168,107.630249,2,-4,153.00
OK,0.33,43.82,37.31,466.50,-6.976168,107.630249,2,-3,152.70
OK,0.03,43.82,37.39,466.52,-6.976168,107.630249,0,-4,153.40
OK,0.46,43.82,37.39,466.49,-6.976161,107.630241,0,-5,153.40
OK,0.36,43.82,37.39,466.50,-6.976161,107.630241,1,-5,152.90
OK,0.11,43.82,37.39,466.51,-6.976161,107.630241,2,-4,152.30
OK,0.12,43.82,37.39,466.51,-6.976161,107.630241,2,-3,152.70
OK,0.24,43.82,37.39,466.50,-6.976161,107.630241,1,-4,153.70
OK,0.14,43.82,37.39,466.51,-6.976161,107.630241,0,-5,154.20
OK,-0.01,43.80,37.52,466.52,-6.976161,107.630241,0,-5,153.30
OK,-0.05,43.80,37.52,466.52,-6.976156,107.630241,1,-4,152.20
OK,0.24,43.80,37.52,466.50,-6.976156,107.630241,0,-4,152.30
OK,0.59,43.80,37.52,466.48,-6.976156,107.630241,0,-4,153.30
OK,0.19,43.80,37.52,466.51,-6.976156,107.630241,0,-2,152.70
OK,-0.16,43.80,37.52,466.53,-6.976156,107.630241,-1,-3,153.60
OK,0.26,43.80,37.64,466.50,-6.976156,107.630241,0,-7,156.50
OK,0.12,43.80,37.64,466.51,-6.976156,107.630241,3,-6,158.50
OK,0.63,43.80,37.64,466.48,-6.976151,107.630241,3,-5,163.30
OK,0.66,43.80,37.64,466.48,-6.976151,107.630241,1,-4,170.40
OK,0.58,43.80,37.64,466.49,-6.976151,107.630241,2,-6,176.50
OK,1.23,43.80,37.64,466.45,-6.976151,107.630241,4,-6,178.00
OK,1.14,43.80,37.64,466.45,-6.976151,107.630241,6,-5,175.00
OK,0.91,43.79,37.65,466.47,-6.976151,107.630233,4,-3,169.60
