Peserta id,Waktu,Ketinggian,Temperature,Kelembaban,Tekanan,Arah Angin,Kecepatan Angin,Lintang,Bujur
621,13:56:24,0.61,31.78,60.18,465.51,93.72,0,-6.976907,107.630195
621,13:56:34,0.26,31.81,60.12,465.53,93.72,0,-6.976907,107.630195
621,13:56:44,0.12,31.85,60.23,465.53,141.55,1.42,-6.976917,107.630203
621,13:56:54,0.32,31.93,60.26,465.52,141.55,1.42,-6.976917,107.630203
621,13:57:04,0.20,31.95,60.26,465.53,141.55,1.42,-6.976917,107.630203
621,13:57:14,0.36,31.97,60.14,465.52,141.55,1.42,-6.976917,107.630203
621,13:57:24,0.39,32.02,60.05,465.52,286.06,0.80,-6.976934,107.630180
621,13:57:34,0.09,32.08,59.88,465.53,286.06,0.80,-6.976934,107.630180
621,13:57:44,-0.36,nan,59.85,465.56,0.00,0.89,-6.976926,107.630180
621,13:57:54,-0.17,32.15,59.56,465.55,0.00,0.89,-6.976926,107.630180
