Peserta id,Waktu,Ketinggian,Temperature,Kelembaban,Tekanan,Arah Angin,Kecepatan Angin,Lintang,Bujur
621,11:26:15,0.14,43.80,37.52,466.52,0.00,0.56,-6.976156,107.630241
621,11:26:25,1.43,43.76,38.21,466.44,0.00,0.00,-6.976077,107.630249
621,11:26:35,1.57,43.74,38.16,466.43,0.00,1.22,-6.975959,107.630256
621,11:26:45,1.23,43.69,38.04,466.45,0.00,0.00,-6.975883,107.630241
621,11:26:55,1.42,43.66,37.97,466.44,90.00,1.66,-6.975925,107.630325
621,11:27:05,1.38,43.66,35.83,466.44,150.44,1.79,-6.976102,107.630432
621,11:27:15,1.51,43.65,36.38,466.43,0.00,0.00,-6.976125,107.630424
621,11:27:25,1.83,43.65,35.18,466.42,270.00,2.54,-6.976007,107.630302
621,11:27:35,1.36,43.62,34.53,466.44,0.00,0.00,-6.975940,107.630218
621,11:27:45,0.80,43.59,35.83,466.47,0.00,0.00,-6.975948,107.630271
621,11:27:55,0.76,43.55,36.77,466.48,0.00,0.00,-6.975945,107.630271
621,11:28:05,0.57,43.55,37.28,466.49,0.00,0.00,-6.975945,107.630271
621,11:28:15,0.86,43.56,37.68,466.47,0.00,0.00,-6.975943,107.630279
621,11:28:25,0.83,43.56,38.22,466.47,0.00,0.00,-6.975942,107.630287
621,11:28:35,1.34,43.58,38.57,466.44,0.00,0.00,-6.975939,107.630287
621,11:28:45,1.06,43.60,39.02,466.46,0.00,0.00,-6.975936,107.630287
621,11:28:55,0.88,43.65,39.58,466.47,0.00,0.00,-6.975936,107.630279
621,11:29:05,1.23,43.71,39.88,466.45,0.00,0.00,-6.975937,107.630287
621,11:29:15,0.94,43.75,39.76,466.47,0.00,0.11,-6.975935,107.630294
621,11:29:25,1.19,43.79,39.65,466.45,0.00,0.00,-6.975934,107.630294
621,11:29:35,0.85,43.86,39.42,466.47,0.00,0.00,-6.975929,107.630294
621,11:29:45,0.87,43.92,39.40,466.47,0.00,0.00,-6.975928,107.630287
621,11:29:55,1.51,43.95,40.20,466.43,0.00,0.00,-6.975928,107.630279
621,11:30:05,0.97,44.00,40.17,466.46,0.00,0.11,-6.975924,107.630271
621,11:30:15,1.11,44.03,40.02,466.46,0.00,0.00,-6.975920,107.630271
