Peserta id,Waktu,Ketinggian,Temperature,Kelembaban,Tekanan,Arah Angin,Kecepatan Angin,Lintang,Bujur
621,15:27:16,1.26,31.14,65.96,465.63,180.00,0.11,-6.976921,107.630218
621,15:27:26,1.83,31.16,65.98,465.60,0.00,0.00,-6.976895,107.630226
621,15:27:36,2.37,31.16,65.81,465.57,0.00,0.33,-6.976869,107.630218
621,15:27:52,1.83,31.17,65.65,465.60,90.00,0.88,-6.976859,107.630218
621,15:28:02,1.76,31.16,65.26,465.61,0.00,0.00,-6.976891,107.630249
621,15:28:12,1.75,31.19,65.14,465.61,321.55,1.42,-6.976899,107.630233
621,15:28:22,1.99,31.17,65.33,465.59,116.74,0.99,-6.976896,107.630241
621,15:28:32,2.14,31.17,65.34,465.59,0.00,0.33,-6.976820,107.630256
621,15:28:42,1.79,31.19,65.26,465.61,296.74,0.99,-6.976768,107.630241
621,15:28:52,2.00,31.19,65.31,465.59,180.00,0.78,-6.976832,107.630218
621,15:29:02,2.03,31.17,65.22,465.59,180.00,0.44,-6.976880,107.630210
621,15:29:12,2.14,31.16,65.06,465.59,0.00,0.11,-6.976870,107.630218
621,15:29:22,2.06,31.17,64.95,465.59,0.00,0.33,-6.976827,107.630218
